EDITION,QUESTION
Couples,"Katera je tvoja najljubša izkušnja, ki sva jo skupaj doživela?"
Couples,"Kaj je nekaj slabega in nekaj dobrega, kar si o meni odkril/a šele kasneje v najinem odnosu?"
Couples,"Kaj je nekaj kar se je spremenilo na pozitivno, ko se je razvijal najin odnos?"
Couples,"Kako si vedel/a, da si se zaljubil/a vame?"
Couples,Kdaj in kje sva si prvič izpovedala ljubezen?
Couples,S čim te najbolj prizadanem?
Couples,"Česa si želiš, da bi počela več?"
Couples,"Koliko bi rekel/a, da me poznaš od 1-10?"
Couples,Katere moje geste ti največ pomenijo?
Couples,Katera moja pohvala ti največ pomeni?
Couples,Kako pogosto želiš slišati pohvalo ali potrditev?
Couples,"Kaj me lahko naučiš, da bom boljši partner zate?"
Couples,Kdaj me vidiš kot tvojo največjo oporo?
Couples,"Če bi lahko uvedla eno novo rutino, ki bi naju povezala, katera bi bila?"
Couples,"Kaj lahko vsak od naju naredi, da se v intimnosti počutiva bolj sproščeno?"
Couples,Katera najina rutina ti je najbolj pri srcu?
Couples,Kako vidiš najin odnos v 5ih letih?
Couples,"Se ti zdi, da ti dovolj izkazujem ljubezen?"
Couples,"Če bi bila najin odnos film, kateri žanr bi bil?"
Couples,"Ali obstaja par po katerem bi se zgledovala? Če ja, kaj počneta onadva kar lahko počneva tudi midva?"
Couples,"Kaj je zate ljubezenski jezik, ki ga najbolj začutiš?"
Couples,"Kaj je najbolj čudaška navada, ki jo imam, pa te vseeno na nek bizaren način privlači?"
Couples,Katera hrana te vedno spravi v dobro voljo?
Couples,"Kaj bi počela skupaj, če bi imela danes neomejen budget?"
Couples,Kaj sva midva kot par — jutranji kaos ali večerni zen?
Couples,Kateri je tvoj najljubši vzdevek zame?
Couples,Katera pesem te spomni name?
Couples,"Če bi morala skupaj preživeti mesec dni na samotnem otoku, kaj bi bila tvoja glavna naloga in kaj moja?"
Couples,"Kaj je tista ena majhna stvar, ki jo naredim vsak dan, pa se zaradi nje počutiš ljubljeno?"
Couples,"Kam bi se odselila, če bi nama nekdo rekel, da lahko od jutri živiva kjerkoli na svetu?"
Couples,Katero veščino bi se rad/a naučila skupaj z mano?
Couples,"Kaj je zate definicija popolnega dneva, ki ga preživiva skupaj?"
Couples,"Kdaj si v najini zvezi začutil/a, da je to ""to""?"
Couples,Katera tvoja lastnost se je ob meni najbolj spremenila ali razvila?
Couples,"Če bi lahko spremenila eno stvar na najini poti do zdaj, bi sploh kaj spremenila?"
Couples,"Kaj je tisto, česar o tebi ne ve nihče drug, razen mene?"
Couples,"Kaj je zate ""neodpustljivo"" dejanje, ki bi popolnoma zlomilo tvoje zaupanje?"
Couples,"Če bi naju ljudje opazovali od daleč, katero vrednoto bi rekli, da najbolj zastopava?"
Couples,"Kaj je tisto, kar tvojemu življenju daje največji smisel, in kje v tem mozaiku sem jaz?"
Couples,"Kateri tvoj kos oblačila bi najraje ""ponesreči"" izgubil/a v pranju?"
Couples,"Kateri ""zmenek doma"" ti je ljubši od drage večerje zunaj?"
Couples,"Kateri trenutek v tednu je zate ""najin trenutek"", ki se ga najbolj veseliš?"
Couples,"Kako veš, da sem slabe volje, še preden odprem usta?"
Couples,"Če bi mi moral/a kupiti darilo za 5 €, s čim bi me najbolj osrečil/a?"
Couples,"Kateri moj objem ti je najljubši: tisti za dobro jutro, tisti v tolažbo ali tisti ""kar tako""?"
We can make it,Kaj ti v najinem odnosu daje občutek varnosti?
We can make it,"Se ti zdi, da se ob prepirih bova drug proti drugemu ali skupaj proti problemu?"
We can make it,"Kaj je tisto, čemur si se zavestno odpovedal/a, da bi najin odnos deloval, in ali kdaj čutiš obžalovanje zaradi tega?"
We can make it,"Katera tvoja ""rana"" iz otroštva se v najinem odnosu najpogosteje oglasi?"
We can make it,"Ali obstaja kakšna potreba v tvojem srcu, ki je ne upaš izraziti, ker se bojiš, da bi bila zame preveč?"
We can make it,"Kaj je tista stvar, ki je pri meni ne razumeš, pa si se sčasoma preprosto nehal/a truditi, da bi jo?"
We can make it,Če bi bila ljubezen odločitev in ne čustvo – zakaj bi se vsako jutro znova odločil/a zame?
We can make it,"Kaj je tista stvar, za katero želiš, da si jo ljudje (in jaz) zapomnijo o tebi?"
We can make it,"Kako želiš, da se odzovem, ko si pod stresom?"
We can make it,"Katere besede od mene najbolj hrepeniš slišati, pa ti jih morda premalokrat povem?"
We can make it,"Kaj je najboljši način, da se umiriva, preden nadaljujeva pogovor?"
We can make it,Kdaj in kako najlažje začneš resen pogovor z mano?
We can make it,"Katero plat sebe želiš, da bi bolje razumel/a?"
We can make it,"Kateri del sebe najtežje sprejmeš in kako se počutiš, ko jaz vidim ta del tebe?"
We can make it,"Česa se v najinem odnosu najbolj bojiš, pa o tem redko spregovoriš?"
We can make it,"Katero temo je za naju najtežje odpreti – in zakaj misliš, da je tako?"
We can make it,Kako lahko izboljšam svoj način komuniciranja s tabo?
We can make it,Kako lahko izboljšam svoj način poslušanja?
We can make it,"Kako želiš, da se odzovem, ko si vidno razburjen_a?"
Anniversary,"Kaj je drugače kot kar si si predstavljal, ko sva začela?"
Anniversary,Katera izkušnja naju je najbolj zbližala?
Anniversary,Kaj je po tvojem mnenju najina največja skupna moč kot par?
Anniversary,"Kako bi opisal/a najin odnos nekomu, ki naju še nikoli ni srečal?"
Anniversary,"Kako misliš, da sva se skozi leta spremenila kot par?"
Anniversary,"Če bi lahko podoživel en dan iz najine zveze, kateri bi bil in zakaj?"
Anniversary,"Kateri film, pesem ali knjiga te vedno spomni name?"
Anniversary,"Kdaj si se prvič zavedal/a, da si želiš z mano preživeti življenje?"
Anniversary,Kateri je tvoj najlepši spomin iz najinih prvih let skupaj?
Anniversary,Kateri skupni cilj še nisva osvojila in je še vedno v najinem načrtu?
Anniversary,Kaj te pri meni najbolj privlači?
Anniversary,Kaj je najina močna točka pri reševanju prepirov?
Anniversary,"Kaj je nekaj, kar te je v preteklosti prizadelo, pa o tem nisva govorila?"
Anniversary,Kako bi se rad/a razvijal/a kot oseba v naslednjih 10 letih in kako te lahko pri tem podpiram?
Anniversary,"Kaj te pri meni še vedno preseneča, čeprav me poznaš že toliko let?"
Anniversary,"Kako veš, da te ljubim, tudi ko ti tega ne povem?"
Anniversary,"Kaj je ena stvar, ki jo lahko izboljšava v najinem odnosu?"
Anniversary,Kako lahko bolje izražam svojo ljubezen do tebe?
Anniversary,"Kaj je ena stvar, ki bi jo rad/a delal/a več skupaj?"
Anniversary,Kako zgleda tvoj najljubši zmenek z mano?
Anniversary,"Kaj je ena skupna želja, ki jo še nisva uresničila?"
Anniversary,"Če bi imela priložnost potovati v preteklost in dati nasvet najinemu mlajšemu jazu, kaj bi mu rekla?"
Anniversary,Katera pesem najbolje opiše najino razmerje?
Anniversary,Kateri je bil najbolj smešen ali neroden trenutek v najini zvezi?
Anniversary,"Če bi lahko izbrisala en težek trenutek, ki sva ga doživela skupaj, bi to storil/a? Zakaj da ali zakaj ne?"
Anniversary,"Kaj je najin inner joke, ki ga drugi ne razumejo?"
Anniversary,Kaj sem te naučil/a o ljubezni v teh letih?
Anniversary,"Kaj je nekaj kar bi si mogla povedat že zdavnaj, pa si nisva, ker sva čutila, da je prepozno, da bi to povedala naglas?"
Anniversary,"Kaj si misliš o tem, kako rešujeva konflikte?"
Anniversary,Kdaj se počutiš najbolj ljubljeno in cenjeno ob meni?
Anniversary,Kaj ti je pri meni fizično najbolj všeč?
Anniversary,Kateri je najin najljubši hobi trenutno in katerega bi mogla začet?
Anniversary,"Če bi morala izbrati eno pustolovščino, ki bi jo skupaj doživela, katero bi izbrala kot najljubšo?"
Anniversary,Kateri je tvoj najljubši vzdevek zame?
We can make it,"Kaj lahko naredim, da te pomirim, ko ti je hudo?"
We can make it,"Katera ovira je naslednja, ki bi jo morala skupaj premagati?"
We can make it,"Kaj lahko naredim jutri, da bo tvoj dan pa četudi samo malenkost boljši?"
We can make it,Kaj je najpogostejši razlog za tvoj nasmeh?
We can make it,"Kdaj si najbolj srečen/srečna (, ko si ob meni)?"
We can make it,"Kako si želiš, da bi ti pokazal/a ljubezen?"
We can make it,"Katere moje besede te najbolj zabolijo ali potisnejo v attack/defence mode? Kaj lahko spremenim, da ti bo lažje?"
We can make it,"Kako bi želel, da komunicirava, ko pride do konflikta?"
We can make it,"Se ti zdi, da še vedno gledava v isto smer? Če ne – kam si ti želiš iti?"
We can make it,Kateri skupni cilj sva začela zapostavljati?
We can make it,"Kaj bi morala spremeniti vsak pri sebi, da bi izboljšala najin odnos?"
We can make it,Je kaj v kar dvomiš v najinem odnosu in tega še nisi izrazil/a?
We can make it,Kaj bi si želel/a slišati od mene pa tega nisem izrekel/la?
We can make it,"Kaj bi ti danes pomenilo, da naredim samo zato, da ti olajšam dan?"
We can make it,"Kaj lahko skupaj ustvariva, da bova okrepila najino vez?"
We can make it,Kako lahko skupaj oblikujeva prostor v katerem bova oba čutila priložnost za rast? (my absolute favourite)
We can make it,Kaj te najbolj zaboli v konfliktu?
We can make it,"Kako lahko oba poskrbiva, da se bova počutila kot ekipa, tudi ko se ne strinjava?"